"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Vito\dev-events\frontend\app\Q&A\page.tsx", "TypeScript JSX", 0, -1, 0, 2, 0, 1
"c:\Vito\dev-events\frontend\app\about\page.tsx", "TypeScript JSX", 0, -87, 0, 0, -5, -92
"c:\Vito\dev-events\frontend\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 11
"c:\Vito\dev-events\frontend\app\events\[eventSlug]\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 1, 15
"c:\Vito\dev-events\frontend\app\events\page.tsx", "TypeScript JSX", 0, -2, 0, 10, 1, 9
"c:\Vito\dev-events\frontend\app\layout.tsx", "TypeScript JSX", 0, -35, 0, 0, -1, -36
"c:\Vito\dev-events\frontend\components\about\person.tsx", "TypeScript JSX", 0, 29, 0, 0, 5, 34
"c:\Vito\dev-events\frontend\components\banner\index.tsx", "TypeScript JSX", 0, -27, 0, 0, -8, -35
"c:\Vito\dev-events\frontend\components\banner\language.tsx", "TypeScript JSX", 0, -26, 0, 0, -4, -30
"c:\Vito\dev-events\frontend\components\comment\index.tsx", "TypeScript JSX", 0, -46, 0, 0, -9, -55
"c:\Vito\dev-events\frontend\components\elements\primaryButton.tsx", "TypeScript JSX", 0, -5, 0, 0, -3, -8
"c:\Vito\dev-events\frontend\components\emailSettler\index.tsx", "TypeScript JSX", 0, -28, 0, 0, -7, -35
"c:\Vito\dev-events\frontend\components\eventPreview\eventsLoading.tsx", "TypeScript JSX", 0, 12, 0, 0, 4, 16
"c:\Vito\dev-events\frontend\components\events\searchbar\index.tsx", "TypeScript JSX", 0, 56, 0, 0, 13, 69
"c:\Vito\dev-events\frontend\components\events\searchbar\inputOptions.ts", "TypeScript", 0, 0, 97, 0, 3, 100
"c:\Vito\dev-events\frontend\components\events\searchbar\selectInput.tsx", "TypeScript JSX", 0, 14, 0, 0, 4, 18
"c:\Vito\dev-events\frontend\components\events\sidebar.tsx", "TypeScript JSX", 0, 12, 0, 0, 3, 15
"c:\Vito\dev-events\frontend\components\footer\footerLink.tsx", "TypeScript JSX", 0, -10, 0, 0, -3, -13
"c:\Vito\dev-events\frontend\components\footer\index.tsx", "TypeScript JSX", 0, -105, 0, 0, -16, -121
"c:\Vito\dev-events\frontend\components\header\index.tsx", "TypeScript JSX", 0, -111, 0, 0, -11, -122
"c:\Vito\dev-events\frontend\components\homeEventsSections\allEventsSection.tsx", "TypeScript JSX", 0, -30, 0, 0, -9, -39
"c:\Vito\dev-events\frontend\components\homeEventsSections\bestEventsSection.tsx", "TypeScript JSX", 0, -30, 0, 0, -9, -39
"c:\Vito\dev-events\frontend\components\home\bestEvents.tsx", "TypeScript JSX", 0, 35, 0, 0, 9, 44
"c:\Vito\dev-events\frontend\components\home\comments\Slide.tsx", "TypeScript JSX", 0, 32, 0, 0, 11, 43
"c:\Vito\dev-events\frontend\components\home\comments\index.tsx", "TypeScript JSX", 0, 43, 0, 0, 8, 51
"c:\Vito\dev-events\frontend\components\home\comments\slider.tsx", "TypeScript JSX", 0, 19, 0, 0, 4, 23
"c:\Vito\dev-events\frontend\components\home\emailSettler.tsx", "TypeScript JSX", 0, 28, 0, 0, 7, 35
"c:\Vito\dev-events\frontend\components\home\header\index.tsx", "TypeScript JSX", 0, 44, 0, 0, 7, 51
"c:\Vito\dev-events\frontend\components\home\header\slide.tsx", "TypeScript JSX", 0, 43, 0, 0, 8, 51
"c:\Vito\dev-events\frontend\components\home\header\slider.tsx", "TypeScript JSX", 0, 34, 0, 0, 6, 40
"c:\Vito\dev-events\frontend\components\home\latestEvents.tsx", "TypeScript JSX", 0, 35, 0, 0, 9, 44
"c:\Vito\dev-events\frontend\components\home\signUp\button.tsx", "TypeScript JSX", 0, 21, 0, 0, 5, 26
"c:\Vito\dev-events\frontend\components\home\signUp\confirmCode.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
