"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Vito\dev-events\frontend\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Vito\dev-events\frontend\README.md", "Markdown", 0, 0, 79, 0, 0, 0, 0, 0, 0, 31, 110
"c:\Vito\dev-events\frontend\app\Q&A\head.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\app\Q&A\page.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 2, 17, 104
"c:\Vito\dev-events\frontend\app\Q&A\questions.ts", "TypeScript", 0, 0, 0, 0, 0, 168, 0, 0, 0, 2, 170
"c:\Vito\dev-events\frontend\app\about\head.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 0, 11, 97
"c:\Vito\dev-events\frontend\app\contact\head.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 20, 100
"c:\Vito\dev-events\frontend\app\events\[eventSlug]\head.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Vito\dev-events\frontend\app\events\[eventSlug]\page.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 24, 130
"c:\Vito\dev-events\frontend\app\events\head.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\app\events\page.tsx", "TypeScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 10, 30, 152
"c:\Vito\dev-events\frontend\app\head.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Vito\dev-events\frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Vito\dev-events\frontend\app\page.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 12, 35
"c:\Vito\dev-events\frontend\components\about\person.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Vito\dev-events\frontend\components\elements\header.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Vito\dev-events\frontend\components\elements\headerBox.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Vito\dev-events\frontend\components\eventPreview\eventsLoading.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Vito\dev-events\frontend\components\eventPreview\index.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"c:\Vito\dev-events\frontend\components\eventPreview\loading.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Vito\dev-events\frontend\components\events\searchbar\index.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 13, 69
"c:\Vito\dev-events\frontend\components\events\searchbar\inputOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 100
"c:\Vito\dev-events\frontend\components\events\searchbar\selectInput.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Vito\dev-events\frontend\components\events\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Vito\dev-events\frontend\components\home\bestEvents.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Vito\dev-events\frontend\components\home\comments\Slide.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 11, 43
"c:\Vito\dev-events\frontend\components\home\comments\index.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Vito\dev-events\frontend\components\home\comments\slider.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Vito\dev-events\frontend\components\home\emailSettler.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"c:\Vito\dev-events\frontend\components\home\header\index.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"c:\Vito\dev-events\frontend\components\home\header\slide.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Vito\dev-events\frontend\components\home\header\slider.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"c:\Vito\dev-events\frontend\components\home\latestEvents.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Vito\dev-events\frontend\components\home\signUp\button.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Vito\dev-events\frontend\components\home\signUp\confirmCode.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Vito\dev-events\frontend\components\home\signUp\createAccount.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"c:\Vito\dev-events\frontend\components\home\signUp\createEvent.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Vito\dev-events\frontend\components\home\signUp\holdingEvent.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Vito\dev-events\frontend\components\home\signUp\index.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 11, 66
"c:\Vito\dev-events\frontend\components\layout\banner\index.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"c:\Vito\dev-events\frontend\components\layout\banner\language.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Vito\dev-events\frontend\components\layout\footer\footerLink.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Vito\dev-events\frontend\components\layout\footer\index.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 16, 121
"c:\Vito\dev-events\frontend\components\layout\navbar\index.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 6, 21, 124
"c:\Vito\dev-events\frontend\components\layout\navbar\navLink.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Vito\dev-events\frontend\components\singleEvent\ads.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Vito\dev-events\frontend\components\singleEvent\comment\index.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"c:\Vito\dev-events\frontend\components\singleEvent\controlers.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Vito\dev-events\frontend\components\singleEvent\details\detail.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Vito\dev-events\frontend\components\singleEvent\details\details.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 17, 122
"c:\Vito\dev-events\frontend\components\singleEvent\headerSlider.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Vito\dev-events\frontend\components\singleEvent\newComment.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Vito\dev-events\frontend\components\singleEvent\relatedEventsSlider.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\Vito\dev-events\frontend\components\singleEvent\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 10, 44
"c:\Vito\dev-events\frontend\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Vito\dev-events\frontend\modules\getEvents.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Vito\dev-events\frontend\next.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Vito\dev-events\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6994, 0, 1, 6995
"c:\Vito\dev-events\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Vito\dev-events\frontend\pages\404.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\Vito\dev-events\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Vito\dev-events\frontend\public\404-background.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Vito\dev-events\frontend\public\comments-background.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Vito\dev-events\frontend\public\create-account-homepage.svg", "XML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 1, 75
"c:\Vito\dev-events\frontend\public\email-settler-backgorund.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\Vito\dev-events\frontend\public\email-settler-image.svg", "XML", 0, 0, 0, 0, 128, 0, 0, 0, 0, 1, 129
"c:\Vito\dev-events\frontend\public\fonts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"c:\Vito\dev-events\frontend\public\footer-background.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Vito\dev-events\frontend\public\icons\add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
